Date,Open,High,Low,Close,Adj Close,Volume
2021-10-27,71000.0,71000.0,70000.0,70100.0,69425.9921875,10295316
2021-10-28,69500.0,72200.0,69500.0,70700.0,70020.2265625,20644902
2021-10-29,71200.0,71600.0,69700.0,69800.0,69128.875,17016151
2021-11-01,70200.0,70600.0,69900.0,69900.0,69227.9140625,11503729
2021-11-02,70800.0,72200.0,70700.0,71500.0,70812.53125,16812570
2021-11-03,71700.0,71700.0,70100.0,70400.0,69723.1015625,12770428
2021-11-04,71200.0,71600.0,70500.0,70600.0,69921.1875,11818987
2021-11-05,71600.0,71600.0,70200.0,70200.0,69525.03125,12667743
2021-11-08,70400.0,70600.0,69800.0,70600.0,69921.1875,11121981
2021-11-09,70300.0,71000.0,70100.0,70500.0,69822.1484375,11159589
2021-11-10,70300.0,70900.0,70200.0,70200.0,69525.03125,9422009
2021-11-11,69900.0,70000.0,69600.0,69900.0,69227.9140625,11489122
2021-11-12,70200.0,70900.0,69900.0,70600.0,69921.1875,10087450
2021-11-15,71700.0,71900.0,70900.0,71400.0,70713.4921875,12420710
2021-11-16,71500.0,72000.0,71300.0,71300.0,70614.453125,10919239
2021-11-17,71300.0,71600.0,70600.0,70700.0,70020.2265625,11027606
2021-11-18,70700.0,71000.0,70200.0,70200.0,69525.03125,10144957
2021-11-19,70400.0,71400.0,70100.0,71200.0,70515.4140625,11954728
2021-11-22,73300.0,75200.0,73000.0,74900.0,74179.8359375,27506623
2021-11-23,76000.0,76000.0,74500.0,75300.0,74575.9921875,22029195
2021-11-24,76000.0,76200.0,74100.0,74800.0,74080.796875,15652305
2021-11-25,75100.0,75100.0,73600.0,73700.0,72991.375,12559258
2021-11-26,73500.0,74100.0,72000.0,72300.0,71604.84375,13002242
2021-11-29,71700.0,73000.0,71400.0,72300.0,71604.84375,16682559
2021-11-30,73200.0,73900.0,70500.0,71300.0,70614.453125,30364841
2021-12-01,72000.0,74800.0,71600.0,74400.0,73684.640625,21954856
2021-12-02,73900.0,75800.0,73800.0,75800.0,75071.1875,23652940
2021-12-03,75600.0,76000.0,74100.0,75600.0,74873.109375,18330240
2021-12-06,75100.0,76700.0,74900.0,76300.0,75566.3828125,16391250
2021-12-07,76100.0,77700.0,75600.0,77400.0,76655.8046875,19232453
